##,###,S,C,A,L,E,S,!,S,C,A,L,E,S,!,S,C,A,L,E,S
79,79,0.022,0.192,0.285,0.437,0.607,0.7,0.87,1.022,1.192,1.285,1.437,1.607,1.7,1.87,2.022,2.192,2.285,2.437,2.607,2.7
80,80,0.022,0.192,0.285,0.455,0.607,0.7,0.87,1.022,1.192,1.285,1.455,1.607,1.7,1.87,2.022,2.192,2.285,2.455,2.607,2.7
81,81,0.022,0.192,0.285,0.455,0.607,0.7,0.87,1.022,1.192,1.285,1.455,1.607,1.7,1.87,2.022,2.192,2.285,2.455,2.607,2.7
82,82,0.022,0.192,0.285,0.455,0.607,0.777,0.87,1.022,1.192,1.285,1.455,1.607,1.777,1.87,2.022,2.192,2.285,2.455,2.607,2.777
83,83,0.022,0.192,0.285,0.455,0.607,0.777,0.87,1.022,1.192,1.285,1.455,1.607,1.777,1.87,2.022,2.192,2.285,2.455,2.607,2.777
84,84,0.04,0.192,0.285,0.455,0.607,0.777,0.87,1.04,1.192,1.285,1.455,1.607,1.777,1.87,2.04,2.192,2.285,2.455,2.607,2.777
85,85,0.04,0.192,0.285,0.455,0.607,0.777,0.87,1.04,1.192,1.285,1.455,1.607,1.777,1.87,2.04,2.192,2.285,2.455,2.607,2.777
86,86,0.04,0.192,0.362,0.455,0.607,0.777,0.87,1.04,1.192,1.362,1.455,1.607,1.777,1.87,2.04,2.192,2.362,2.455,2.607,2.777
87,87,0.04,0.192,0.362,0.455,0.607,0.777,0.87,1.04,1.192,1.362,1.455,1.607,1.777,1.87,2.04,2.192,2.362,2.455,2.607,2.777
88,88,0.04,0.192,0.362,0.455,0.625,0.777,0.87,1.04,1.192,1.362,1.455,1.625,1.777,1.87,2.04,2.192,2.362,2.455,2.625,2.777
89,89,0.04,0.192,0.362,0.455,0.625,0.777,0.87,1.04,1.192,1.362,1.455,1.625,1.777,1.87,2.04,2.192,2.362,2.455,2.625,2.777
90,90,0.04,0.192,0.362,0.455,0.625,0.777,0.947,1.04,1.192,1.362,1.455,1.625,1.777,1.947,2.04,2.192,2.362,2.455,2.625,2.777
91,91,0.04,0.192,0.362,0.455,0.625,0.777,0.947,1.04,1.192,1.362,1.455,1.625,1.777,1.947,2.04,2.192,2.362,2.455,2.625,2.777
92,92,0.04,0.21,0.362,0.455,0.625,0.777,0.947,1.04,1.21,1.362,1.455,1.625,1.777,1.947,2.04,2.21,2.362,2.455,2.625,2.777
93,93,0.04,0.21,0.362,0.455,0.625,0.777,0.947,1.04,1.21,1.362,1.455,1.625,1.777,1.947,2.04,2.21,2.362,2.455,2.625,2.777
94,94,0.04,0.21,0.362,0.532,0.625,0.777,0.947,1.04,1.21,1.362,1.532,1.625,1.777,1.947,2.04,2.21,2.362,2.532,2.625,2.777
95,95,0.04,0.21,0.362,0.532,0.625,0.777,0.947,1.04,1.21,1.362,1.532,1.625,1.777,1.947,2.04,2.21,2.362,2.532,2.625,2.777
96,96,0.04,0.21,0.362,0.532,0.625,0.795,0.947,1.04,1.21,1.362,1.532,1.625,1.795,1.947,2.04,2.21,2.362,2.532,2.625,2.795
97,97,0.04,0.21,0.362,0.532,0.625,0.795,0.947,1.04,1.21,1.362,1.532,1.625,1.795,1.947,2.04,2.21,2.362,2.532,2.625,2.795
98,98,0.117,0.21,0.362,0.532,0.625,0.795,0.947,1.117,1.21,1.362,1.532,1.625,1.795,1.947,2.117,2.21,2.362,2.532,2.625,2.795
