##,###,S,C,A,L,E,S,!,S,C,A,L,E,S,!,S,C,A,L,E,S
495,495,0.032,0.125,0.277,0.447,0.54,0.71,0.862,1.032,1.125,1.277,1.447,1.54,1.71,1.862,2.032,2.125,2.277,2.447,2.54,2.71
496,496,0.032,0.125,0.295,0.447,0.54,0.71,0.862,1.032,1.125,1.295,1.447,1.54,1.71,1.862,2.032,2.125,2.295,2.447,2.54,2.71
497,497,0.032,0.125,0.295,0.447,0.54,0.71,0.862,1.032,1.125,1.295,1.447,1.54,1.71,1.862,2.032,2.125,2.295,2.447,2.54,2.71
498,498,0.032,0.125,0.295,0.447,0.617,0.71,0.862,1.032,1.125,1.295,1.447,1.617,1.71,1.862,2.032,2.125,2.295,2.447,2.617,2.71
499,499,0.032,0.125,0.295,0.447,0.617,0.71,0.862,1.032,1.125,1.295,1.447,1.617,1.71,1.862,2.032,2.125,2.295,2.447,2.617,2.71
500,500,0.032,0.125,0.295,0.447,0.617,0.71,0.88,1.032,1.125,1.295,1.447,1.617,1.71,1.88,2.032,2.125,2.295,2.447,2.617,2.71
501,501,0.032,0.125,0.295,0.447,0.617,0.71,0.88,1.032,1.125,1.295,1.447,1.617,1.71,1.88,2.032,2.125,2.295,2.447,2.617,2.71
502,502,0.032,0.202,0.295,0.447,0.617,0.71,0.88,1.032,1.202,1.295,1.447,1.617,1.71,1.88,2.032,2.202,2.295,2.447,2.617,2.71
503,503,0.032,0.202,0.295,0.447,0.617,0.71,0.88,1.032,1.202,1.295,1.447,1.617,1.71,1.88,2.032,2.202,2.295,2.447,2.617,2.71
504,504,0.032,0.202,0.295,0.465,0.617,0.71,0.88,1.032,1.202,1.295,1.465,1.617,1.71,1.88,2.032,2.202,2.295,2.465,2.617,2.71
505,505,0.032,0.202,0.295,0.465,0.617,0.71,0.88,1.032,1.202,1.295,1.465,1.617,1.71,1.88,2.032,2.202,2.295,2.465,2.617,2.71
506,506,0.032,0.202,0.295,0.465,0.617,0.787,0.88,1.032,1.202,1.295,1.465,1.617,1.787,1.88,2.032,2.202,2.295,2.465,2.617,2.787
507,507,0.032,0.202,0.295,0.465,0.617,0.787,0.88,1.032,1.202,1.295,1.465,1.617,1.787,1.88,2.032,2.202,2.295,2.465,2.617,2.787
508,508,0.05,0.202,0.295,0.465,0.617,0.787,0.88,1.05,1.202,1.295,1.465,1.617,1.787,1.88,2.05,2.202,2.295,2.465,2.617,2.787
509,509,0.05,0.202,0.295,0.465,0.617,0.787,0.88,1.05,1.202,1.295,1.465,1.617,1.787,1.88,2.05,2.202,2.295,2.465,2.617,2.787
510,510,0.05,0.202,0.372,0.465,0.617,0.787,0.88,1.05,1.202,1.372,1.465,1.617,1.787,1.88,2.05,2.202,2.372,2.465,2.617,2.787
511,511,0.05,0.202,0.372,0.465,0.617,0.787,0.88,1.05,1.202,1.372,1.465,1.617,1.787,1.88,2.05,2.202,2.372,2.465,2.617,2.787
512,512,0.05,0.202,0.372,0.465,0.635,0.787,0.88,1.05,1.202,1.372,1.465,1.635,1.787,1.88,2.05,2.202,2.372,2.465,2.635,2.787
513,513,0.05,0.202,0.372,0.465,0.635,0.787,0.88,1.05,1.202,1.372,1.465,1.635,1.787,1.88,2.05,2.202,2.372,2.465,2.635,2.787
514,514,0.05,0.202,0.372,0.465,0.635,0.787,0.957,1.05,1.202,1.372,1.465,1.635,1.787,1.957,2.05,2.202,2.372,2.465,2.635,2.787
515,515,0.05,0.202,0.372,0.465,0.635,0.787,0.957,1.05,1.202,1.372,1.465,1.635,1.787,1.957,2.05,2.202,2.372,2.465,2.635,2.787
516,516,0.05,0.22,0.372,0.465,0.635,0.787,0.957,1.05,1.22,1.372,1.465,1.635,1.787,1.957,2.05,2.22,2.372,2.465,2.635,2.787
517,517,0.05,0.22,0.372,0.465,0.635,0.787,0.957,1.05,1.22,1.372,1.465,1.635,1.787,1.957,2.05,2.22,2.372,2.465,2.635,2.787
518,518,0.05,0.22,0.372,0.542,0.635,0.787,0.957,1.05,1.22,1.372,1.542,1.635,1.787,1.957,2.05,2.22,2.372,2.542,2.635,2.787
519,519,0.05,0.22,0.372,0.542,0.635,0.787,0.957,1.05,1.22,1.372,1.542,1.635,1.787,1.957,2.05,2.22,2.372,2.542,2.635,2.787
520,520,0.05,0.22,0.372,0.542,0.635,0.805,0.957,1.05,1.22,1.372,1.542,1.635,1.805,1.957,2.05,2.22,2.372,2.542,2.635,2.805
521,521,0.05,0.22,0.372,0.542,0.635,0.805,0.957,1.05,1.22,1.372,1.542,1.635,1.805,1.957,2.05,2.22,2.372,2.542,2.635,2.805
522,522,0.127,0.22,0.372,0.542,0.635,0.805,0.957,1.127,1.22,1.372,1.542,1.635,1.805,1.957,2.127,2.22,2.372,2.542,2.635,2.805
523,523,0.127,0.22,0.372,0.542,0.635,0.805,0.957,1.127,1.22,1.372,1.542,1.635,1.805,1.957,2.127,2.22,2.372,2.542,2.635,2.805
524,524,0.127,0.22,0.39,0.542,0.635,0.805,0.957,1.127,1.22,1.39,1.542,1.635,1.805,1.957,2.127,2.22,2.39,2.542,2.635,2.805
525,525,0.127,0.22,0.39,0.542,0.635,0.805,0.957,1.127,1.22,1.39,1.542,1.635,1.805,1.957,2.127,2.22,2.39,2.542,2.635,2.805
526,526,0.127,0.22,0.39,0.542,0.712,0.805,0.957,1.127,1.22,1.39,1.542,1.712,1.805,1.957,2.127,2.22,2.39,2.542,2.712,2.805
527,527,0.127,0.22,0.39,0.542,0.712,0.805,0.957,1.127,1.22,1.39,1.542,1.712,1.805,1.957,2.127,2.22,2.39,2.542,2.712,2.805
528,528,0.127,0.22,0.39,0.542,0.712,0.805,0.975,1.127,1.22,1.39,1.542,1.712,1.805,1.975,2.127,2.22,2.39,2.542,2.712,2.805
529,529,0.127,0.22,0.39,0.542,0.712,0.805,0.975,1.127,1.22,1.39,1.542,1.712,1.805,1.975,2.127,2.22,2.39,2.542,2.712,2.805
530,530,0.127,0.297,0.39,0.542,0.712,0.805,0.975,1.127,1.297,1.39,1.542,1.712,1.805,1.975,2.127,2.297,2.39,2.542,2.712,2.805
531,531,0.127,0.297,0.39,0.542,0.712,0.805,0.975,1.127,1.297,1.39,1.542,1.712,1.805,1.975,2.127,2.297,2.39,2.542,2.712,2.805
532,532,0.127,0.297,0.39,0.56,0.712,0.805,0.975,1.127,1.297,1.39,1.56,1.712,1.805,1.975,2.127,2.297,2.39,2.56,2.712,2.805
533,533,0.127,0.297,0.39,0.56,0.712,0.805,0.975,1.127,1.297,1.39,1.56,1.712,1.805,1.975,2.127,2.297,2.39,2.56,2.712,2.805
534,534,0.127,0.297,0.39,0.56,0.712,0.882,0.975,1.127,1.297,1.39,1.56,1.712,1.882,1.975,2.127,2.297,2.39,2.56,2.712,2.882
535,535,0.127,0.297,0.39,0.56,0.712,0.882,0.975,1.127,1.297,1.39,1.56,1.712,1.882,1.975,2.127,2.297,2.39,2.56,2.712,2.882
536,536,0.145,0.297,0.39,0.56,0.712,0.882,0.975,1.145,1.297,1.39,1.56,1.712,1.882,1.975,2.145,2.297,2.39,2.56,2.712,2.882
537,537,0.145,0.297,0.39,0.56,0.712,0.882,0.975,1.145,1.297,1.39,1.56,1.712,1.882,1.975,2.145,2.297,2.39,2.56,2.712,2.882
538,538,0.145,0.297,0.467,0.56,0.712,0.882,0.975,1.145,1.297,1.467,1.56,1.712,1.882,1.975,2.145,2.297,2.467,2.56,2.712,2.882
539,539,0.145,0.297,0.467,0.56,0.712,0.882,0.975,1.145,1.297,1.467,1.56,1.712,1.882,1.975,2.145,2.297,2.467,2.56,2.712,2.882
540,540,0.145,0.297,0.467,0.56,0.73,0.882,0.975,1.145,1.297,1.467,1.56,1.73,1.882,1.975,2.145,2.297,2.467,2.56,2.73,2.882
541,541,0.145,0.297,0.467,0.56,0.73,0.882,0.975,1.145,1.297,1.467,1.56,1.73,1.882,1.975,2.145,2.297,2.467,2.56,2.73,2.882
542,542,0.052,0.145,0.297,0.467,0.56,0.73,0.882,1.052,1.145,1.297,1.467,1.56,1.73,1.882,2.052,2.145,2.297,2.467,2.56,2.73
543,543,0.052,0.145,0.297,0.467,0.56,0.73,0.882,1.052,1.145,1.297,1.467,1.56,1.73,1.882,2.052,2.145,2.297,2.467,2.56,2.73
544,544,0.052,0.145,0.315,0.467,0.56,0.73,0.882,1.052,1.145,1.315,1.467,1.56,1.73,1.882,2.052,2.145,2.315,2.467,2.56,2.73
545,545,0.052,0.145,0.315,0.467,0.56,0.73,0.882,1.052,1.145,1.315,1.467,1.56,1.73,1.882,2.052,2.145,2.315,2.467,2.56,2.73
546,546,0.052,0.145,0.315,0.467,0.637,0.73,0.882,1.052,1.145,1.315,1.467,1.637,1.73,1.882,2.052,2.145,2.315,2.467,2.637,2.73
547,547,0.052,0.145,0.315,0.467,0.637,0.73,0.882,1.052,1.145,1.315,1.467,1.637,1.73,1.882,2.052,2.145,2.315,2.467,2.637,2.73
548,548,0.052,0.145,0.315,0.467,0.637,0.73,0.9,1.052,1.145,1.315,1.467,1.637,1.73,1.9,2.052,2.145,2.315,2.467,2.637,2.73
549,549,0.052,0.145,0.315,0.467,0.637,0.73,0.9,1.052,1.145,1.315,1.467,1.637,1.73,1.9,2.052,2.145,2.315,2.467,2.637,2.73
550,550,0.052,0.222,0.315,0.467,0.637,0.73,0.9,1.052,1.222,1.315,1.467,1.637,1.73,1.9,2.052,2.222,2.315,2.467,2.637,2.73
551,551,0.052,0.222,0.315,0.467,0.637,0.73,0.9,1.052,1.222,1.315,1.467,1.637,1.73,1.9,2.052,2.222,2.315,2.467,2.637,2.73
552,552,0.052,0.222,0.315,0.485,0.637,0.73,0.9,1.052,1.222,1.315,1.485,1.637,1.73,1.9,2.052,2.222,2.315,2.485,2.637,2.73
553,553,0.052,0.222,0.315,0.485,0.637,0.73,0.9,1.052,1.222,1.315,1.485,1.637,1.73,1.9,2.052,2.222,2.315,2.485,2.637,2.73
554,554,0.052,0.222,0.315,0.485,0.637,0.807,0.9,1.052,1.222,1.315,1.485,1.637,1.807,1.9,2.052,2.222,2.315,2.485,2.637,2.807
555,555,0.052,0.222,0.315,0.485,0.637,0.807,0.9,1.052,1.222,1.315,1.485,1.637,1.807,1.9,2.052,2.222,2.315,2.485,2.637,2.807
556,556,0.07,0.222,0.315,0.485,0.637,0.807,0.9,1.07,1.222,1.315,1.485,1.637,1.807,1.9,2.07,2.222,2.315,2.485,2.637,2.807
557,557,0.07,0.222,0.315,0.485,0.637,0.807,0.9,1.07,1.222,1.315,1.485,1.637,1.807,1.9,2.07,2.222,2.315,2.485,2.637,2.807
558,558,0.07,0.222,0.392,0.485,0.637,0.807,0.9,1.07,1.222,1.392,1.485,1.637,1.807,1.9,2.07,2.222,2.392,2.485,2.637,2.807
559,559,0.07,0.222,0.392,0.485,0.637,0.807,0.9,1.07,1.222,1.392,1.485,1.637,1.807,1.9,2.07,2.222,2.392,2.485,2.637,2.807
560,560,0.07,0.222,0.392,0.485,0.655,0.807,0.9,1.07,1.222,1.392,1.485,1.655,1.807,1.9,2.07,2.222,2.392,2.485,2.655,2.807
561,561,0.07,0.222,0.392,0.485,0.655,0.807,0.9,1.07,1.222,1.392,1.485,1.655,1.807,1.9,2.07,2.222,2.392,2.485,2.655,2.807
562,562,0.07,0.222,0.392,0.485,0.655,0.807,0.977,1.07,1.222,1.392,1.485,1.655,1.807,1.977,2.07,2.222,2.392,2.485,2.655,2.807
563,563,0.07,0.222,0.392,0.485,0.655,0.807,0.977,1.07,1.222,1.392,1.485,1.655,1.807,1.977,2.07,2.222,2.392,2.485,2.655,2.807
564,564,0.07,0.24,0.392,0.485,0.655,0.807,0.977,1.07,1.24,1.392,1.485,1.655,1.807,1.977,2.07,2.24,2.392,2.485,2.655,2.807
565,565,0.07,0.24,0.392,0.485,0.655,0.807,0.977,1.07,1.24,1.392,1.485,1.655,1.807,1.977,2.07,2.24,2.392,2.485,2.655,2.807
566,566,0.07,0.24,0.392,0.562,0.655,0.807,0.977,1.07,1.24,1.392,1.562,1.655,1.807,1.977,2.07,2.24,2.392,2.562,2.655,2.807
567,567,0.07,0.24,0.392,0.562,0.655,0.807,0.977,1.07,1.24,1.392,1.562,1.655,1.807,1.977,2.07,2.24,2.392,2.562,2.655,2.807
568,568,0.07,0.24,0.392,0.562,0.655,0.825,0.977,1.07,1.24,1.392,1.562,1.655,1.825,1.977,2.07,2.24,2.392,2.562,2.655,2.825
569,569,0.07,0.24,0.392,0.562,0.655,0.825,0.977,1.07,1.24,1.392,1.562,1.655,1.825,1.977,2.07,2.24,2.392,2.562,2.655,2.825
570,570,0.147,0.24,0.392,0.562,0.655,0.825,0.977,1.147,1.24,1.392,1.562,1.655,1.825,1.977,2.147,2.24,2.392,2.562,2.655,2.825
571,571,0.147,0.24,0.392,0.562,0.655,0.825,0.977,1.147,1.24,1.392,1.562,1.655,1.825,1.977,2.147,2.24,2.392,2.562,2.655,2.825
572,572,0.147,0.24,0.41,0.562,0.655,0.825,0.977,1.147,1.24,1.41,1.562,1.655,1.825,1.977,2.147,2.24,2.41,2.562,2.655,2.825
573,573,0.147,0.24,0.41,0.562,0.655,0.825,0.977,1.147,1.24,1.41,1.562,1.655,1.825,1.977,2.147,2.24,2.41,2.562,2.655,2.825
574,574,0.147,0.24,0.41,0.562,0.732,0.825,0.977,1.147,1.24,1.41,1.562,1.732,1.825,1.977,2.147,2.24,2.41,2.562,2.732,2.825
575,575,0.147,0.24,0.41,0.562,0.732,0.825,0.977,1.147,1.24,1.41,1.562,1.732,1.825,1.977,2.147,2.24,2.41,2.562,2.732,2.825
576,576,0.147,0.24,0.41,0.562,0.732,0.825,0.995,1.147,1.24,1.41,1.562,1.732,1.825,1.995,2.147,2.24,2.41,2.562,2.732,2.825
577,577,0.147,0.24,0.41,0.562,0.732,0.825,0.995,1.147,1.24,1.41,1.562,1.732,1.825,1.995,2.147,2.24,2.41,2.562,2.732,2.825
578,578,0.147,0.317,0.41,0.562,0.732,0.825,0.995,1.147,1.317,1.41,1.562,1.732,1.825,1.995,2.147,2.317,2.41,2.562,2.732,2.825
579,579,0.147,0.317,0.41,0.562,0.732,0.825,0.995,1.147,1.317,1.41,1.562,1.732,1.825,1.995,2.147,2.317,2.41,2.562,2.732,2.825
580,580,0.147,0.317,0.41,0.58,0.732,0.825,0.995,1.147,1.317,1.41,1.58,1.732,1.825,1.995,2.147,2.317,2.41,2.58,2.732,2.825
581,581,0.147,0.317,0.41,0.58,0.732,0.825,0.995,1.147,1.317,1.41,1.58,1.732,1.825,1.995,2.147,2.317,2.41,2.58,2.732,2.825
582,582,0.147,0.317,0.41,0.58,0.732,0.902,0.995,1.147,1.317,1.41,1.58,1.732,1.902,1.995,2.147,2.317,2.41,2.58,2.732,2.902
583,583,0.147,0.317,0.41,0.58,0.732,0.902,0.995,1.147,1.317,1.41,1.58,1.732,1.902,1.995,2.147,2.317,2.41,2.58,2.732,2.902
584,584,0.165,0.317,0.41,0.58,0.732,0.902,0.995,1.165,1.317,1.41,1.58,1.732,1.902,1.995,2.165,2.317,2.41,2.58,2.732,2.902
585,585,0.165,0.317,0.41,0.58,0.732,0.902,0.995,1.165,1.317,1.41,1.58,1.732,1.902,1.995,2.165,2.317,2.41,2.58,2.732,2.902
586,586,0.165,0.317,0.487,0.58,0.732,0.902,0.995,1.165,1.317,1.487,1.58,1.732,1.902,1.995,2.165,2.317,2.487,2.58,2.732,2.902
587,587,0.165,0.317,0.487,0.58,0.732,0.902,0.995,1.165,1.317,1.487,1.58,1.732,1.902,1.995,2.165,2.317,2.487,2.58,2.732,2.902
588,588,0.165,0.317,0.487,0.58,0.75,0.902,0.995,1.165,1.317,1.487,1.58,1.75,1.902,1.995,2.165,2.317,2.487,2.58,2.75,2.902
589,589,0.165,0.317,0.487,0.58,0.75,0.902,0.995,1.165,1.317,1.487,1.58,1.75,1.902,1.995,2.165,2.317,2.487,2.58,2.75,2.902
590,590,0.072,0.165,0.317,0.487,0.58,0.75,0.902,1.072,1.165,1.317,1.487,1.58,1.75,1.902,2.072,2.165,2.317,2.487,2.58,2.75
591,591,0.072,0.165,0.317,0.487,0.58,0.75,0.902,1.072,1.165,1.317,1.487,1.58,1.75,1.902,2.072,2.165,2.317,2.487,2.58,2.75
592,592,0.072,0.165,0.335,0.487,0.58,0.75,0.902,1.072,1.165,1.335,1.487,1.58,1.75,1.902,2.072,2.165,2.335,2.487,2.58,2.75
593,593,0.072,0.165,0.335,0.487,0.58,0.75,0.902,1.072,1.165,1.335,1.487,1.58,1.75,1.902,2.072,2.165,2.335,2.487,2.58,2.75
594,594,0.072,0.165,0.335,0.487,0.657,0.75,0.902,1.072,1.165,1.335,1.487,1.657,1.75,1.902,2.072,2.165,2.335,2.487,2.657,2.75
595,595,0.072,0.165,0.335,0.487,0.657,0.75,0.902,1.072,1.165,1.335,1.487,1.657,1.75,1.902,2.072,2.165,2.335,2.487,2.657,2.75
596,596,0.072,0.165,0.335,0.487,0.657,0.75,0.92,1.072,1.165,1.335,1.487,1.657,1.75,1.92,2.072,2.165,2.335,2.487,2.657,2.75
597,597,0.072,0.165,0.335,0.487,0.657,0.75,0.92,1.072,1.165,1.335,1.487,1.657,1.75,1.92,2.072,2.165,2.335,2.487,2.657,2.75
598,598,0.072,0.242,0.335,0.487,0.657,0.75,0.92,1.072,1.242,1.335,1.487,1.657,1.75,1.92,2.072,2.242,2.335,2.487,2.657,2.75
599,599,0.072,0.242,0.335,0.487,0.657,0.75,0.92,1.072,1.242,1.335,1.487,1.657,1.75,1.92,2.072,2.242,2.335,2.487,2.657,2.75
600,600,0.072,0.242,0.335,0.505,0.657,0.75,0.92,1.072,1.242,1.335,1.505,1.657,1.75,1.92,2.072,2.242,2.335,2.505,2.657,2.75
601,601,0.072,0.242,0.335,0.505,0.657,0.75,0.92,1.072,1.242,1.335,1.505,1.657,1.75,1.92,2.072,2.242,2.335,2.505,2.657,2.75
602,602,0.072,0.242,0.335,0.505,0.657,0.827,0.92,1.072,1.242,1.335,1.505,1.657,1.827,1.92,2.072,2.242,2.335,2.505,2.657,2.827
603,603,0.072,0.242,0.335,0.505,0.657,0.827,0.92,1.072,1.242,1.335,1.505,1.657,1.827,1.92,2.072,2.242,2.335,2.505,2.657,2.827
604,604,0.09,0.242,0.335,0.505,0.657,0.827,0.92,1.09,1.242,1.335,1.505,1.657,1.827,1.92,2.09,2.242,2.335,2.505,2.657,2.827
605,605,0.09,0.242,0.335,0.505,0.657,0.827,0.92,1.09,1.242,1.335,1.505,1.657,1.827,1.92,2.09,2.242,2.335,2.505,2.657,2.827
606,606,0.09,0.242,0.412,0.505,0.657,0.827,0.92,1.09,1.242,1.412,1.505,1.657,1.827,1.92,2.09,2.242,2.412,2.505,2.657,2.827
607,607,0.09,0.242,0.412,0.505,0.657,0.827,0.92,1.09,1.242,1.412,1.505,1.657,1.827,1.92,2.09,2.242,2.412,2.505,2.657,2.827
608,608,0.09,0.242,0.412,0.505,0.675,0.827,0.92,1.09,1.242,1.412,1.505,1.675,1.827,1.92,2.09,2.242,2.412,2.505,2.675,2.827
609,609,0.09,0.242,0.412,0.505,0.675,0.827,0.92,1.09,1.242,1.412,1.505,1.675,1.827,1.92,2.09,2.242,2.412,2.505,2.675,2.827
610,610,0.09,0.242,0.412,0.505,0.675,0.827,0.997,1.09,1.242,1.412,1.505,1.675,1.827,1.997,2.09,2.242,2.412,2.505,2.675,2.827
611,611,0.09,0.242,0.412,0.505,0.675,0.827,0.997,1.09,1.242,1.412,1.505,1.675,1.827,1.997,2.09,2.242,2.412,2.505,2.675,2.827
612,612,0.09,0.26,0.412,0.505,0.675,0.827,0.997,1.09,1.26,1.412,1.505,1.675,1.827,1.997,2.09,2.26,2.412,2.505,2.675,2.827
613,613,0.09,0.26,0.412,0.505,0.675,0.827,0.997,1.09,1.26,1.412,1.505,1.675,1.827,1.997,2.09,2.26,2.412,2.505,2.675,2.827
614,614,0.09,0.26,0.412,0.582,0.675,0.827,0.997,1.09,1.26,1.412,1.582,1.675,1.827,1.997,2.09,2.26,2.412,2.582,2.675,2.827
615,615,0.09,0.26,0.412,0.582,0.675,0.827,0.997,1.09,1.26,1.412,1.582,1.675,1.827,1.997,2.09,2.26,2.412,2.582,2.675,2.827
616,616,0.09,0.26,0.412,0.582,0.675,0.845,0.997,1.09,1.26,1.412,1.582,1.675,1.845,1.997,2.09,2.26,2.412,2.582,2.675,2.845
617,617,0.09,0.26,0.412,0.582,0.675,0.845,0.997,1.09,1.26,1.412,1.582,1.675,1.845,1.997,2.09,2.26,2.412,2.582,2.675,2.845
618,618,0.167,0.26,0.412,0.582,0.675,0.845,0.997,1.167,1.26,1.412,1.582,1.675,1.845,1.997,2.167,2.26,2.412,2.582,2.675,2.845
619,619,0.167,0.26,0.412,0.582,0.675,0.845,0.997,1.167,1.26,1.412,1.582,1.675,1.845,1.997,2.167,2.26,2.412,2.582,2.675,2.845
620,620,0.167,0.26,0.43,0.582,0.675,0.845,0.997,1.167,1.26,1.43,1.582,1.675,1.845,1.997,2.167,2.26,2.43,2.582,2.675,2.845
621,621,0.167,0.26,0.43,0.582,0.675,0.845,0.997,1.167,1.26,1.43,1.582,1.675,1.845,1.997,2.167,2.26,2.43,2.582,2.675,2.845
622,622,0.167,0.26,0.43,0.582,0.752,0.845,0.997,1.167,1.26,1.43,1.582,1.752,1.845,1.997,2.167,2.26,2.43,2.582,2.752,2.845
623,623,0.167,0.26,0.43,0.582,0.752,0.845,0.997,1.167,1.26,1.43,1.582,1.752,1.845,1.997,2.167,2.26,2.43,2.582,2.752,2.845
624,624,0.015,0.167,0.26,0.43,0.582,0.752,0.845,1.015,1.167,1.26,1.43,1.582,1.752,1.845,2.015,2.167,2.26,2.43,2.582,2.752
625,625,0.015,0.167,0.26,0.43,0.582,0.752,0.845,1.015,1.167,1.26,1.43,1.582,1.752,1.845,2.015,2.167,2.26,2.43,2.582,2.752
626,626,0.015,0.167,0.337,0.43,0.582,0.752,0.845,1.015,1.167,1.337,1.43,1.582,1.752,1.845,2.015,2.167,2.337,2.43,2.582,2.752
627,627,0.015,0.167,0.337,0.43,0.582,0.752,0.845,1.015,1.167,1.337,1.43,1.582,1.752,1.845,2.015,2.167,2.337,2.43,2.582,2.752
628,628,0.015,0.167,0.337,0.43,0.6,0.752,0.845,1.015,1.167,1.337,1.43,1.6,1.752,1.845,2.015,2.167,2.337,2.43,2.6,2.752
629,629,0.015,0.167,0.337,0.43,0.6,0.752,0.845,1.015,1.167,1.337,1.43,1.6,1.752,1.845,2.015,2.167,2.337,2.43,2.6,2.752
630,630,0.015,0.167,0.337,0.43,0.6,0.752,0.922,1.015,1.167,1.337,1.43,1.6,1.752,1.922,2.015,2.167,2.337,2.43,2.6,2.752
631,631,0.015,0.167,0.337,0.43,0.6,0.752,0.922,1.015,1.167,1.337,1.43,1.6,1.752,1.922,2.015,2.167,2.337,2.43,2.6,2.752
632,632,0.015,0.185,0.337,0.43,0.6,0.752,0.922,1.015,1.185,1.337,1.43,1.6,1.752,1.922,2.015,2.185,2.337,2.43,2.6,2.752
633,633,0.015,0.185,0.337,0.43,0.6,0.752,0.922,1.015,1.185,1.337,1.43,1.6,1.752,1.922,2.015,2.185,2.337,2.43,2.6,2.752
634,634,0.015,0.185,0.337,0.507,0.6,0.752,0.922,1.015,1.185,1.337,1.507,1.6,1.752,1.922,2.015,2.185,2.337,2.507,2.6,2.752
635,635,0.015,0.185,0.337,0.507,0.6,0.752,0.922,1.015,1.185,1.337,1.507,1.6,1.752,1.922,2.015,2.185,2.337,2.507,2.6,2.752
636,636,0.015,0.185,0.337,0.507,0.6,0.77,0.922,1.015,1.185,1.337,1.507,1.6,1.77,1.922,2.015,2.185,2.337,2.507,2.6,2.77
637,637,0.015,0.185,0.337,0.507,0.6,0.77,0.922,1.015,1.185,1.337,1.507,1.6,1.77,1.922,2.015,2.185,2.337,2.507,2.6,2.77
638,638,0.092,0.185,0.337,0.507,0.6,0.77,0.922,1.092,1.185,1.337,1.507,1.6,1.77,1.922,2.092,2.185,2.337,2.507,2.6,2.77
639,639,0.092,0.185,0.337,0.507,0.6,0.77,0.922,1.092,1.185,1.337,1.507,1.6,1.77,1.922,2.092,2.185,2.337,2.507,2.6,2.77
640,640,0.092,0.185,0.355,0.507,0.6,0.77,0.922,1.092,1.185,1.355,1.507,1.6,1.77,1.922,2.092,2.185,2.355,2.507,2.6,2.77
641,641,0.092,0.185,0.355,0.507,0.6,0.77,0.922,1.092,1.185,1.355,1.507,1.6,1.77,1.922,2.092,2.185,2.355,2.507,2.6,2.77
642,642,0.092,0.185,0.355,0.507,0.677,0.77,0.922,1.092,1.185,1.355,1.507,1.677,1.77,1.922,2.092,2.185,2.355,2.507,2.677,2.77
643,643,0.092,0.185,0.355,0.507,0.677,0.77,0.922,1.092,1.185,1.355,1.507,1.677,1.77,1.922,2.092,2.185,2.355,2.507,2.677,2.77
644,644,0.092,0.185,0.355,0.507,0.677,0.77,0.94,1.092,1.185,1.355,1.507,1.677,1.77,1.94,2.092,2.185,2.355,2.507,2.677,2.77
645,645,0.092,0.185,0.355,0.507,0.677,0.77,0.94,1.092,1.185,1.355,1.507,1.677,1.77,1.94,2.092,2.185,2.355,2.507,2.677,2.77
646,646,0.092,0.262,0.355,0.507,0.677,0.77,0.94,1.092,1.262,1.355,1.507,1.677,1.77,1.94,2.092,2.262,2.355,2.507,2.677,2.77
647,647,0.092,0.262,0.355,0.507,0.677,0.77,0.94,1.092,1.262,1.355,1.507,1.677,1.77,1.94,2.092,2.262,2.355,2.507,2.677,2.77
648,648,0.092,0.262,0.355,0.525,0.677,0.77,0.94,1.092,1.262,1.355,1.525,1.677,1.77,1.94,2.092,2.262,2.355,2.525,2.677,2.77
649,649,0.092,0.262,0.355,0.525,0.677,0.77,0.94,1.092,1.262,1.355,1.525,1.677,1.77,1.94,2.092,2.262,2.355,2.525,2.677,2.77
650,650,0.092,0.262,0.355,0.525,0.677,0.847,0.94,1.092,1.262,1.355,1.525,1.677,1.847,1.94,2.092,2.262,2.355,2.525,2.677,2.847
651,651,0.092,0.262,0.355,0.525,0.677,0.847,0.94,1.092,1.262,1.355,1.525,1.677,1.847,1.94,2.092,2.262,2.355,2.525,2.677,2.847
652,652,0.11,0.262,0.355,0.525,0.677,0.847,0.94,1.11,1.262,1.355,1.525,1.677,1.847,1.94,2.11,2.262,2.355,2.525,2.677,2.847
653,653,0.11,0.262,0.355,0.525,0.677,0.847,0.94,1.11,1.262,1.355,1.525,1.677,1.847,1.94,2.11,2.262,2.355,2.525,2.677,2.847
654,654,0.11,0.262,0.432,0.525,0.677,0.847,0.94,1.11,1.262,1.432,1.525,1.677,1.847,1.94,2.11,2.262,2.432,2.525,2.677,2.847
655,655,0.11,0.262,0.432,0.525,0.677,0.847,0.94,1.11,1.262,1.432,1.525,1.677,1.847,1.94,2.11,2.262,2.432,2.525,2.677,2.847
656,656,0.11,0.262,0.432,0.525,0.695,0.847,0.94,1.11,1.262,1.432,1.525,1.695,1.847,1.94,2.11,2.262,2.432,2.525,2.695,2.847
657,657,0.11,0.262,0.432,0.525,0.695,0.847,0.94,1.11,1.262,1.432,1.525,1.695,1.847,1.94,2.11,2.262,2.432,2.525,2.695,2.847
658,658,0.017,0.11,0.262,0.432,0.525,0.695,0.847,1.017,1.11,1.262,1.432,1.525,1.695,1.847,2.017,2.11,2.262,2.432,2.525,2.695
659,659,0.017,0.11,0.262,0.432,0.525,0.695,0.847,1.017,1.11,1.262,1.432,1.525,1.695,1.847,2.017,2.11,2.262,2.432,2.525,2.695
660,660,0.017,0.11,0.28,0.432,0.525,0.695,0.847,1.017,1.11,1.28,1.432,1.525,1.695,1.847,2.017,2.11,2.28,2.432,2.525,2.695
