###,p,4,6,1,3,5,7,2,#4,6,#1,3,#5,b7,b9,11,b13,1,b3,5,b7
58,58,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455
59,59,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455
60,60,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777
61,61,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777
62,62,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04
63,63,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04
64,64,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362
65,65,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362
66,66,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625
67,67,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625
68,68,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947
69,69,0.36,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947
70,70,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21
71,71,0.682,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21
72,72,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532
73,73,0.945,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532
74,74,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795
75,75,0.267,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795
76,76,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117
77,77,0.53,0.852,0.115,0.437,0.7,0.022,0.285,0.607,0.87,0.192,0.455,0.777,0.04,0.362,0.625,0.947,0.21,0.532,0.795,0.117
