##,###,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2
81,81,0.284999999999999,0.454999999999999,0.606999999999999,0.699999999999999,0.869999999999999,1.022,1.192,1.285,1.455,1.607,1.7,1.87,2.022,2.192,2.285,2.455
82,82,0.606999999999999,0.776999999999999,0.869999999999999,1.022,1.192,1.285,1.455,1.607,1.777,1.87,2.022,2.192,2.285,2.455,2.607,2.777
83,83,0.606999999999999,0.776999999999999,0.869999999999999,1.022,1.192,1.285,1.455,1.607,1.777,1.87,2.022,2.192,2.285,2.455,2.607,2.777
84,84,0.869999999999999,1.04,1.192,1.285,1.455,1.607,1.777,1.87,2.04,2.192,2.285,2.455,2.607,2.777,2.87,3.04
85,85,0.869999999999999,1.04,1.192,1.285,1.455,1.607,1.777,1.87,2.04,2.192,2.285,2.455,2.607,2.777,2.87,3.04
86,86,0.191999999999999,0.361999999999999,0.454999999999999,0.606999999999999,0.776999999999999,0.869999999999999,1.04,1.192,1.362,1.455,1.607,1.777,1.87,2.04,2.192,2.362
87,87,0.191999999999999,0.361999999999999,0.454999999999999,0.606999999999999,0.776999999999999,0.869999999999999,1.04,1.192,1.362,1.455,1.607,1.777,1.87,2.04,2.192,2.362
88,88,0.454999999999999,0.624999999999999,0.776999999999999,0.869999999999999,1.04,1.192,1.362,1.455,1.625,1.777,1.87,2.04,2.192,2.362,2.455,2.625
89,89,0.454999999999999,0.624999999999999,0.776999999999999,0.869999999999999,1.04,1.192,1.362,1.455,1.625,1.777,1.87,2.04,2.192,2.362,2.455,2.625
90,90,0.776999999999999,0.946999999999999,1.04,1.192,1.362,1.455,1.625,1.777,1.947,2.04,2.192,2.362,2.455,2.625,2.777,2.947
91,91,0.776999999999999,0.946999999999999,1.04,1.192,1.362,1.455,1.625,1.777,1.947,2.04,2.192,2.362,2.455,2.625,2.777,2.947
92,92,0.039999999999999,0.209999999999999,0.361999999999999,0.454999999999999,0.624999999999999,0.776999999999999,0.946999999999999,1.04,1.21,1.362,1.455,1.625,1.777,1.947,2.04,2.21
93,93,0.039999999999999,0.209999999999999,0.361999999999999,0.454999999999999,0.624999999999999,0.776999999999999,0.946999999999999,1.04,1.21,1.362,1.455,1.625,1.777,1.947,2.04,2.21
94,94,0.361999999999999,0.531999999999999,0.624999999999999,0.776999999999999,0.946999999999999,1.04,1.21,1.362,1.532,1.625,1.777,1.947,2.04,2.21,2.362,2.532
