##,###,b5,~7,b2,~4,b6,~1,b3,~5,b7,~2,4,~6,1,~3,5,~7,2,~4,6,~1
63,63,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996
64,64,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996
65,65,0.349999999999996,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996
66,66,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996
67,67,0.671999999999996,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996
68,68,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996
69,69,0.934999999999996,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996
70,70,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996
71,71,0.256999999999996,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996
72,72,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996
73,73,0.519999999999996,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996
74,74,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996,0.369999999999996
75,75,0.841999999999996,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996,0.369999999999996
76,76,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996,0.369999999999996,0.691999999999996
77,77,0.104999999999996,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996,0.369999999999996,0.691999999999996
78,78,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996,0.369999999999996,0.691999999999996,0.954999999999996
79,79,0.426999999999996,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996,0.369999999999996,0.691999999999996,0.954999999999996
80,80,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996,0.369999999999996,0.691999999999996,0.954999999999996,0.276999999999996
81,81,0.689999999999996,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996,0.369999999999996,0.691999999999996,0.954999999999996,0.276999999999996
82,82,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996,0.369999999999996,0.691999999999996,0.954999999999996,0.276999999999996,0.539999999999996
83,83,0.011999999999996,0.274999999999996,0.596999999999996,0.859999999999996,0.181999999999996,0.444999999999996,0.766999999999996,0.029999999999996,0.351999999999996,0.614999999999996,0.936999999999996,0.199999999999996,0.521999999999996,0.784999999999996,0.106999999999996,0.369999999999996,0.691999999999996,0.954999999999996,0.276999999999996,0.539999999999996
