##,###,4,6,1,3,5,7,2,4,6,1,3,5,7,2,4,6,1,3,5,7
72,72,0.529999999999999,0.851999999999999,0.114999999999999,0.436999999999999,0.699999999999999,0.021999999999999,0.284999999999999,1.53,1.852,1.115,1.437,1.7,1.022,1.285,2.53,2.852,2.115,2.437,2.7,2.022
73,73,0.529999999999999,0.851999999999999,0.114999999999999,0.436999999999999,0.699999999999999,0.021999999999999,0.284999999999999,1.53,1.852,1.115,1.437,1.7,1.022,1.285,2.53,2.852,2.115,2.437,2.7,2.022
74,74,0.851999999999999,0.114999999999999,0.436999999999999,0.699999999999999,0.021999999999999,0.284999999999999,0.606999999999999,1.852,1.115,1.437,1.7,1.022,1.285,1.607,2.852,2.115,2.437,2.7,2.022,2.285
75,75,0.851999999999999,0.114999999999999,0.436999999999999,0.699999999999999,0.021999999999999,0.284999999999999,0.606999999999999,1.852,1.115,1.437,1.7,1.022,1.285,1.607,2.852,2.115,2.437,2.7,2.022,2.285
76,76,0.114999999999999,0.436999999999999,0.699999999999999,0.021999999999999,0.284999999999999,0.606999999999999,0.869999999999999,1.115,1.437,1.7,1.022,1.285,1.607,1.87,2.115,2.437,2.7,2.022,2.285,2.607
77,77,0.114999999999999,0.436999999999999,0.699999999999999,0.021999999999999,0.284999999999999,0.606999999999999,0.869999999999999,1.115,1.437,1.7,1.022,1.285,1.607,1.87,2.115,2.437,2.7,2.022,2.285,2.607
78,78,0.436999999999999,0.699999999999999,0.021999999999999,0.284999999999999,0.606999999999999,0.869999999999999,0.191999999999999,1.437,1.7,1.022,1.285,1.607,1.87,1.192,2.437,2.7,2.022,2.285,2.607,2.87
79,79,0.436999999999999,0.699999999999999,0.021999999999999,0.284999999999999,0.606999999999999,0.869999999999999,0.191999999999999,1.437,1.7,1.022,1.285,1.607,1.87,1.192,2.437,2.7,2.022,2.285,2.607,2.87
80,80,0.699999999999999,0.021999999999999,0.284999999999999,0.606999999999999,0.869999999999999,0.191999999999999,0.454999999999999,1.7,1.022,1.285,1.607,1.87,1.192,1.455,2.7,2.022,2.285,2.607,2.87,2.192
81,81,0.699999999999999,0.021999999999999,0.284999999999999,0.606999999999999,0.869999999999999,0.191999999999999,0.454999999999999,1.7,1.022,1.285,1.607,1.87,1.192,1.455,2.7,2.022,2.285,2.607,2.87,2.192
82,82,0.021999999999999,0.284999999999999,0.606999999999999,0.869999999999999,0.191999999999999,0.454999999999999,0.776999999999999,1.022,1.285,1.607,1.87,1.192,1.455,1.777,2.022,2.285,2.607,2.87,2.192,2.455
83,83,0.021999999999999,0.284999999999999,0.606999999999999,0.869999999999999,0.191999999999999,0.454999999999999,0.776999999999999,1.022,1.285,1.607,1.87,1.192,1.455,1.777,2.022,2.285,2.607,2.87,2.192,2.455
84,84,0.284999999999999,0.606999999999999,0.869999999999999,0.191999999999999,0.454999999999999,0.776999999999999,0.039999999999999,1.285,1.607,1.87,1.192,1.455,1.777,1.04,2.285,2.607,2.87,2.192,2.455,2.777
85,85,0.284999999999999,0.606999999999999,0.869999999999999,0.191999999999999,0.454999999999999,0.776999999999999,0.039999999999999,1.285,1.607,1.87,1.192,1.455,1.777,1.04,2.285,2.607,2.87,2.192,2.455,2.777
86,86,0.606999999999999,0.869999999999999,0.191999999999999,0.454999999999999,0.776999999999999,0.039999999999999,0.361999999999999,1.607,1.87,1.192,1.455,1.777,1.04,1.362,2.607,2.87,2.192,2.455,2.777,2.04
87,87,0.606999999999999,0.869999999999999,0.191999999999999,0.454999999999999,0.776999999999999,0.039999999999999,0.361999999999999,1.607,1.87,1.192,1.455,1.777,1.04,1.362,2.607,2.87,2.192,2.455,2.777,2.04
88,88,0.869999999999999,0.191999999999999,0.454999999999999,0.776999999999999,0.039999999999999,0.361999999999999,0.624999999999999,1.87,1.192,1.455,1.777,1.04,1.362,1.625,2.87,2.192,2.455,2.777,2.04,2.362
89,89,0.869999999999999,0.191999999999999,0.454999999999999,0.776999999999999,0.039999999999999,0.361999999999999,0.624999999999999,1.87,1.192,1.455,1.777,1.04,1.362,1.625,2.87,2.192,2.455,2.777,2.04,2.362
90,90,0.191999999999999,0.454999999999999,0.776999999999999,0.039999999999999,0.361999999999999,0.624999999999999,0.946999999999999,1.192,1.455,1.777,1.04,1.362,1.625,1.947,2.192,2.455,2.777,2.04,2.362,2.625
91,91,0.191999999999999,0.454999999999999,0.776999999999999,0.039999999999999,0.361999999999999,0.624999999999999,0.946999999999999,1.192,1.455,1.777,1.04,1.362,1.625,1.947,2.192,2.455,2.777,2.04,2.362,2.625
92,92,0.454999999999999,0.776999999999999,0.039999999999999,0.361999999999999,0.624999999999999,0.946999999999999,0.209999999999999,1.455,1.777,1.04,1.362,1.625,1.947,1.21,2.455,2.777,2.04,2.362,2.625,2.947
93,93,0.454999999999999,0.776999999999999,0.039999999999999,0.361999999999999,0.624999999999999,0.946999999999999,0.209999999999999,1.455,1.777,1.04,1.362,1.625,1.947,1.21,2.455,2.777,2.04,2.362,2.625,2.947
94,94,0.776999999999999,0.039999999999999,0.361999999999999,0.624999999999999,0.946999999999999,0.209999999999999,0.531999999999999,1.777,1.04,1.362,1.625,1.947,1.21,1.532,2.777,2.04,2.362,2.625,2.947,2.21
